year,mm,dd,hh,min,ss.s,L,latit,longit,depth,err(km),mag,tm,CAT,Io,Area,ST,Localities,(source) comments
2020,04,07,04,59,26.00,,-18.540,-43.820,  0.0,5, 2.5,1,"I",,,"MG","Gouveia","(RSBR-USP; UnB)"
2020,04,07,12,12,15.00,,-4.100,-39.240,  0.0,19, 1.6,1,"I","1",,"CE","Paramoti","(RSBR-USP)"
2020,04,08,21,20,21.00,,-27.240,-49.510,  0.0,8, 2.0,5,"I",,,"SC","Lontras","(RSBR-USP; SC3: MLv-0.5)"
2020,04,10,08,59,51.00,,-4.970,-39.430,  0.0,5, 2.0,1,"I",,,"CE","Quixeramobim","(UFRN)"
2020,04,10,23,27,49.00,,-8.640,-74.320,140.0,20, 4.5,0,"I",,,"PU","Peru-Brazil Border","(ISC mb 4.4; USP-UnB mb 4.5)"
2020,04,14,23,13,56.00,,-3.170,-40.710,  0.0,14, 2.0,5,"I","1",,"CE","Granja","(USP SC3: MLv-0.5)"
2020,04,15,14,40,20.00,,-11.610,-56.730,  0.0,70, 0.2,5,"I",,,"MT","Novo HorizonteDoNorte","(USP SC3: MLv-0.5)"
2020,04,16,16,59,50.00,,-24.720,-48.120,  0.0,15, 2.3,1,"I","2",,"SP","Cajati","(RSBR-USP)"
2020,04,18,01,55,40.00,,-23.590,-47.120,  0.0,5, 2.0,1,"I","4",0.025000,"SP","Sao Roque","(RSBR-USP) Af=4 x 2 x pi = 25km2"
2020,04,19,20,43,00.00,,-19.520,-44.120,  0.0,11, 2.1,1,"I",,,"MG","Matozinhos","(RSBR-USP)"
2020,04,20,03,57,56.00,,-19.400,-45.710,  0.0,2, 2.5,1,"I",,,"MG","SERRA DA SAUDADE","(UnB)"
2020,04,20,23,47,33.00,,-8.010,-74.490,146.0,20, 4.8,0,"I",,,"PU","Peru-Brazil Brdr","(ISC; USP UnB)"
2020,04,23,15,55,53.00,,-5.690,-50.490,  0.0,0, 1.5,1,"I",,,"PA","Carajás","(RSVL-USP) felt"
2020,04,24,22,35,27.00,,-21.280,-48.450,  0.0,2, 1.7,5,"I",,,"SP","Monte Alto","(RSBR-USP; SC3: MLv-0.5)"
2020,04,26,00,44,42.00,,-7.780,-50.280,  0.0,50, 3.0,1,"I",,,"PA","Pau dArco","(RSBR-USP; UnB)"
2020,04,26,04,45,05.00,,-4.700,-38.110,  0.0,24, 1.6,1,"I",,,"CE","Palhano","(RSBR-USP)"
2020,04,26,05,10,54.00,,-4.750,-38.120,  0.0,24, 1.3,1,"I",,,"CE","Palhano","(RSBR-USP)"
2020,04,26,11,25,20.00,,-4.310,-38.230,  0.0,30, 1.8,1,"I",,,"CE","Beberibe","(RSBR-USP)"
2020,04,26,22,28,26.00,,-9.890,-73.100,  0.0,5, 4.8,0,"I",,,"AC","MARECHAL THAUMATURGO","(UnB)"
2020,04,27,06,20,57.00,,-4.700,-38.110,  0.0,24, 2.0,5,"I",,,"CE","Palhano","(RSBR-USP; SC3: MLv-0.5)"
2020,04,28,18,18,33.00,,-12.240,-46.500,  0.0,4, 2.1,1,"I",,,"TO","PONTE ALTA BOM JESUS","(UnB)"
2020,04,29,02,45,24.00,,-8.300,-35.960,  0.0,33, 1.7,1,"I",,,"PE","Caruaru","(RSBR-USP)"
2020,04,29,19,15,42.00,,-19.540,-41.640,  0.0,2, 2.3,1,"I",,,"MG","POCRANE","(UnB)"
2020,04,30,06,14,02.00,,-4.710,-35.110,  0.0,23, 1.4,1,"I",,,"RN","Touros","(RSBR-USP)"
2020,04,30,17,00,25.00,,-26.360,-50.680,  0.0,26, 2.7,1,"I",,,"SC","Irineopolis","(RSBR-USP)"
2020,04,30,19,26,19.00,,-23.240,-41.070,  0.0,7, 2.2,1,"I",,,"RJ","ARMAÇÃO DOS BÚZIOS","(UnB)"
2020,05,01,16,35,39.00,,-12.970,-48.350,  0.0,3, 2.2,1,"I",,,"TO","PALMEIRÓPOLIS","(UnB)"
2020,05,03,05,26,05.00,,-5.700,-50.550,  0.0,0, 1.8,1,"I",,,"PA","Carajás","(RSVL-USP) suspected quake"
2020,05,03,07,20,30.00,,-5.770,-50.580,  0.0,0, 2.6,1,"I",,,"PA","Carajás","(RSVL-USP) suspected quake"
2020,05,03,13,16,07.00,,-5.030,-39.520,  0.0,20, 1.8,1,"I",,,"CE","Quixeramobim","(RSBR-USP)"
2020,05,05,06,10,50.00,,-7.920,-74.810,142.7,6, 4.1,0,"I",,,"AC","MÂNCIO LIMA","(UnB)"
2020,05,05,14,17,15.00,,-4.290,-39.760,  0.0,5, 2.0,1,"I",,,"CE","Sobral","(UFRN)"
2020,05,05,22,37,06.00,,-6.420,-50.060,  0.0,0, 1.9,1,"I",,,"PA","Carajás","(RSVL-USP) felt"
2020,05,06,01,26,45.00,,-3.590,-40.520,  0.0,9, 1.8,5,"I",,,"CE","Alcântaras","(RSBR-USP; SC3: MLv-0.5)"
2020,05,06,01,31,39.00,,-3.590,-40.520,  0.0,9, 1.6,5,"I",,,"CE","Alcântaras","(RSBR-USP; SC3: MLv-0.5)"
2020,05,07,14,18,06.00,,-3.590,-40.520,  0.0,9, 1.8,5,"I",,,"CE","Alcântaras","(RSBR-USP; SC3: MLv-0.5)"
2020,05,08,00,18,03.00,,-18.720,-44.930,  0.0,21, 2.1,1,"I",,,"MG","Felixlãndia","(RSBR-USP)"
2020,05,08,00,48,46.00,,-10.240,-58.600,  0.0,30, 2.7,1,"I",,,"MT","COTRIGUAÇU","(UnB; USP)"
2020,05,08,02,49,18.00,,-8.660,-74.860,123.0,20, 4.7,0,"I",,,"PU","Peru-Brazil Border","(ISC; USP UnB)"
2020,05,08,10,14,12.00,,-4.710,-38.120,  0.0,24, 1.7,1,"I",,,"CE","Palhano","(RSBR-USP)"
2020,05,10,00,34,53.00,,-0.790,-50.330,  0.0,30, 3.4,1,"I",,,"PA","ANAJÁS","(RSBR-UnB; USP)"
2020,05,10,01,34,36.00,,-4.340,-38.230,  0.0,4, 1.6,1,"I",,,"CE","Beberibe","(RSBR-USP)"
2020,05,11,04,20,04.00,,-5.280,-40.660,  0.0,20, 1.6,1,"I",,,"CE","Crateus","(RSBR-USP)"
2020,05,12,04,29,43.00,,-17.010,-54.330,  0.0,13, 1.7,1,"I",,,"MT","Itiquira","(RSBR-USP)"
2020,05,14,21,24,46.00,,-5.640,-37.500,  0.0,6, 1.8,1,"I",,,"RN","Caraúbas","(RSBR-USP)"
2020,05,15,20,01,55.00,,-12.540,-49.180,  0.0,12, 2.5,1,"I",,,"TO","ALVORADA","(UnB)"
2020,05,15,20,42,26.00,,-8.330,-36.470,  0.0,11, 1.6,1,"I",,,"PE","Belo Jardim","(RSBR-USP)"
2020,05,16,18,36,59.00,,-22.620,-40.650,  0.0,10, 2.4,1,"I",,,"RJ","Margem_Continental","(RSBR-USP)"
2020,05,16,18,37,02.00,,-22.590,-40.640,  0.0,6, 2.3,1,"I",,,"RJ","QUISSAMÃ","(UnB)"
2020,05,17,19,23,23.00,,-5.800,-36.160,  0.0,5, 2.2,1,"I",,,"RN","LAJES","(RSBR-USP; UnB)"
2020,05,17,23,20,53.00,,-21.630,-39.340,  0.0,27, 2.8,1,"I",,,"ES","Plataforma Continental","(RSBR-USP)"
2020,05,18,04,45,04.00,,-5.650,-37.510,  0.0,5, 2.1,1,"I",,,"RN","Caraúbas","(RSBR-USP; UnB)"
2020,05,24,07,34,37.00,,-5.740,-36.930,  0.0,3, 1.7,1,"I",,,"RN","Açu","(RSBR-USP)"
2020,05,26,05,54,23.00,,-3.900,-39.960,  0.0,10, 1.2,1,"I",,,"CE","Irauçuba","(RSBR-USP)"
2020,05,27,02,20,24.00,,-5.910,-37.380,  0.0,2, 1.6,1,"I",,,"RN","Campo Grande","(RSBR-USP)"
2020,05,29,19,37,57.00,,-5.690,-37.510,  0.0,6, 1.5,1,"I",,,"RN","Caraúbas","(RSBR-USP)"
2020,05,31,13,02,55.00,,-3.300,-40.510,  0.0,8, 1.6,5,"I",,,"CE","Uruoca","(RSBR-USP; SC3: MLv-0.5)"
2020,05,31,13,05,42.00,,-15.500,-49.800,  0.0,30, 3.1,1,"I",,,"GO","URUANA","(UnB; USP) Detonação??"
2020,06,01,05,08,30.00,,-10.900,-37.910,  0.0,5, 2.8,1,"I",,,"SE","Lagarto","(UFRN) sentido_Lagarto"
2020,06,04,22,54,57.00,,-20.650,-43.950,  0.0,15, 2.6,1,"I","4",,"MG","Sao Bras do Suacui","(RSBR-USP; UnB)"
2020,06,07,23,10,13.00,,-21.060,-48.930,  0.0,4, 2.2,1,"I",,,"SP","Novais","(RSBR-USP)"
2020,06,08,06,20,11.00,,-19.180,-47.650,  0.0,20, 2.8,1,"I","4",,"MG","Nova Ponte","(RSBR-USP; UnB)"
2020,06,08,08,19,11.00,,-10.520,-47.440,  0.0,4, 2.6,1,"I",,,"TO","PONTE ALTA TOCANTINS","(UnB)"
2020,06,09,14,31,54.00,,-18.910,-41.910,  0.0,12, 2.1,1,"I",,,"MG","Governador Valadares","(RSBR-USP) Detonação??"
2020,06,10,07,52,23.00,,-14.720,-50.430,  0.0,20, 3.1,1,"I",,,"GO","MOZARLÂNDIA","(UnB; USP)"
2020,06,13,15,09,46.00,,-4.530,-60.690,  0.0,30, 3.2,1,"I",,,"AM","NOVO ARIPUANÃ","(UnB; USP)"
2020,06,14,01,30,37.00,,-9.060,-75.190,125.0,30, 4.2,0,"I",,,"AC","MARECHAL THAUMATURGO","(ISC; UnB)"
2020,06,16,21,09,29.00,,-23.340,-45.620,  0.0,10, 2.4,5,"I",,,"SP","Paraibuna","(RSBR-USP)"
2020,06,17,01,40,50.00,,-10.730,-62.270,  0.0,50, 2.9,1,"I","5",,"RO","Ouro Preto do Oeste","(RSBR-USP; UnB)"
2020,06,18,01,55,38.00,,-5.660,-50.540,  0.0,0, 2.4,1,"I",,,"PA","Carajás","(RSVL-USP) suspected quake"
2020,06,21,20,05,25.00,,-6.440,-50.060,  0.0,0, 3.2,1,"I",,,"PA","Carajás","(RSVL-USP; UnB) suspected quake"
2020,06,22,03,57,31.00,,-21.800,-49.930,  0.0,25, 2.2,1,"I","2",,"SP","Getulina","(RSBR-USP; UnB)"
2020,06,22,20,07,49.00,,-15.400,-59.270,  0.0,2, 2.1,1,"I",,,"MT","Pontes e Lacerda","(RSBR-USP) Detonação??"
2020,06,25,01,02,57.00,,-21.190,-48.450,  0.0,2, 2.0,1,"I",,,"SP","Monte Alto","(RSBR-USP)"
2020,06,26,19,25,01.00,,-23.500,-47.070,  0.0,6, 1.8,5,"I","2",,"SP","Sao Roque","(RSBR-USP; SC3: MLv-0.5)"
2020,06,28,02,23,05.00,,-3.310,-40.510,  0.0,8, 2.2,1,"I",,,"CE","Uruoca","(RSBR-USP)"
2020,06,28,03,53,25.00,,-14.800,-49.820,  0.0,15, 2.4,1,"I",,,"GO","GUARINOS","(UnB; USP)"
2020,06,28,13,37,25.00,,-7.980,-75.000, 50.0,20, 4.5,0,"I",,,"AC","MÂNCIO LIMA","(ISC mb 4.3; UnB mb 4.7)"
2020,06,29,06,59,14.00,,-3.350,-40.280,  0.0,4, 1.3,1,"I",,,"CE","Santana do Acaraú","(RSBR-USP)"
2020,06,29,07,36,22.00,,-3.410,-40.200,  0.0,4, 1.4,1,"I",,,"CE","Santana do Acaraú","(RSBR-USP)"
2020,06,29,20,07,40.00,,-3.900,-40.430,  0.0,12, 1.9,5,"I",,,"CE","Groairas","(RSBR-USP; SC3: MLv-0.5)"
2020,07,02,16,24,30.00,,-20.300,-40.310,  0.0,16, 1.9,1,"I","3-4",,"ES","Vitória","(RSBR-USP)"
2020,07,03,05,32,27.00,,-5.590,-37.530,  0.0,27, 1.9,1,"I",,,"RN","Caraúbas","(RSBR-USP)"
2020,07,03,14,32,48.00,,-27.180,-51.540,  0.0,9, 2.1,1,"I",,,"SC","Joaçaba","(RSBR-USP)"
2020,07,04,14,35,36.00,,-3.070,-40.750,  0.0,13, 1.7,5,"I",,,"CE","Granja","(RSBR-USP; SC3: MLv-0.5)"
2020,07,05,18,23,42.00,,-5.770,-50.580,  0.0,0, 3.3,1,"I",,,"PA","Carajás","(RSVL-USP; UnB) suspected quake"
2020,07,07,22,17,14.00,,-2.000,-53.400,  0.0,50, 3.4,1,"I",,,"PA","PRAINHA","(UnB; USP)"
2020,07,07,23,22,03.00,,-4.360,-38.360,  0.0,30, 2.5,1,"I",,,"CE","Chorozinho","(RSBR-USP; UnB)"
2020,07,07,23,22,26.00,,-4.320,-38.380,  0.0,5, 2.5,1,"I",,,"CE","Cascavel_Chorozinho","(UFRN)"
2020,07,08,13,38,18.00,,-5.520,-36.100,  0.0,6, 1.6,5,"I",,,"RN","Pedra Preta","(RSBR-USP; SC3: MLv-0.5)"
2020,07,08,23,39,57.00,,-8.100,-74.550,151.0,20, 4.1,0,"I",,,"AC","MÂNCIO LIMA","(ISC mb 4.0; UnB mb 4.3; USP)"
2020,07,09,09,53,10.00,,-8.290,-36.020,  0.0,33, 1.6,1,"I",,,"PE","Caruaru","(RSBR-USP)"
2020,07,09,15,10,18.00,,-23.260,-51.160,  0.0,2, 1.6,1,"I",,,"PR","Londrina","(RSBR-USP)"
2020,07,10,23,08,04.00,,-14.110,-48.620,  0.0,10, 2.1,1,"I",,,"GO","Campinacu","(RSBR-USP)"
2020,07,11,14,06,09.00,,-21.140,-49.470,  0.0,37, 2.2,1,"I",,,"SP","Mendonça","(RSBR-USP)"
2020,07,12,03,58,21.00,,-9.900,-40.020,  0.0,20, 2.5,1,"I",,,"BA","Jaguarari","(USP mR 2.7; UnB mR 2.2)"
2020,07,13,02,06,03.00,,-22.610,-43.710,  0.0,22, 2.2,1,"I","4",,"RJ","Paracambi","(RSBR-USP)"
2020,07,17,14,48,15.00,,-3.510,-40.730,  0.0,12, 1.9,5,"I",,,"CE","Coreaú/CE","(RSBR-USP; SC3: MLv-0.5)"
2020,07,18,18,40,49.00,,-8.360,-36.100,  0.0,5, 2.0,1,"I",,,"PE","Sao_Caetano","(UFRN)"
2020,07,19,17,25,30.00,,-6.450,-50.060,  0.0,0, 2.5,1,"I",,,"PA","Carajás","(RSVL-USP) suspected quake"
2020,07,20,02,41,51.00,,-13.590,-44.110,  0.0,23, 2.5,1,"I",,,"BA","Santa Maria da Vitória","(RSBR-USP)"
2020,07,20,13,18,45.00,,-3.850,-40.270,  0.0,10, 2.5,1,"I",,,"CE","Forquilha","(RSBR-USP)"
2020,07,21,02,12,38.00,,-7.860,-74.610,149.0,20, 4.0,0,"I",,,"PU","Peru-Brazil Brdr","(ISC mb 3.6; USP ; UnB mb 4.4)"
2020,07,22,18,13,43.00,,-17.190,-46.910,  0.0,24, 2.4,1,"I",,,"MG","Paracatu","(RSBR-USP) Detonação??"
2020,07,23,14,23,12.00,,-24.680,-48.120,  0.0,14, 2.0,5,"I",,,"SP","Cajati","(USP SC3: MLv-0.5)"
2020,07,24,15,01,16.00,,-10.040,-36.560,  0.0,5, 2.1,1,"I",,,"AL","Igreja_Nova","(UFRN)"
2020,07,25,17,06,25.00,,-3.630,-35.180,  0.0,5, 2.4,1,"I",,,"RN","Plataforma_Continental","(UFRN)"
2020,07,25,20,24,01.00,,-8.380,-36.600,  0.0,39, 2.4,1,"I",,,"PE","Sanharó","(RSBR-USP)"
2020,07,26,20,12,07.00,,-6.440,-50.110,  0.0,0, 3.0,1,"I",,,"PA","Carajás","(RSVL-USP) suspected quake"
2020,07,28,14,33,00.00,,-6.000,-38.200,  0.0,18, 2.1,1,"I",,,"RN","São Francisco do Oeste","(RSBR-USP)"
2020,07,28,14,49,30.00,,-5.730,-35.880,  0.0,1, 1.7,5,"I",,,"RN","Bento Fernandes","(USP MLv-0.5)"
2020,07,28,19,33,50.00,,-5.750,-35.880,  0.0,1, 1.8,5,"I",,,"RN","Bento Fernandes","(USP MLv-0.5)"
2020,07,29,08,19,39.00,,-15.010,-38.120,  0.0,25, 3.8,1,"I",,,"BA","Ilhéus","(RSBR-USP; UnB)"
2020,07,31,09,03,45.00,,-16.380,-40.570,  0.0,10, 2.3,5,"I",,,"MG","Rubim","(RSBR-USP)"
2020,08,01,23,55,24.00,,-15.150,-40.070,  0.0,10, 1.9,5,"I",,,"BA","Itororó","(USP MLv-0.5)"
2020,08,04,16,59,07.00,,-8.720,-36.310,  0.0,5, 2.0,1,"I",,,"PE","Lajedo","(UFRN)"
2020,08,04,17,03,41.00,,-8.670,-36.310,  0.0,30, 2.0,1,"I",,,"PE","Lajedo","(RSBR-USP; UFRN)"
2020,08,05,20,17,28.00,,-8.570,-35.840,  0.0,37, 1.8,1,"I",,,"PE","Belém de Maria","(RSBR-USP)"
2020,08,07,03,53,25.00,,-20.260,-43.770,  0.0,5, 2.1,1,"I","4",,"MG","Itabirito","(RSBR-USP)"
2020,08,07,21,39,00.00,,-20.270,-43.720,  0.0,5, 2.7,1,"I","4",,"MG","Itabirito","(RSBR-USP; UnB)"
2020,08,07,23,45,47.00,,-19.330,-46.700,  0.0,14, 2.3,1,"I",,,"MG","Ibiá","(RSBR-USP)"
2020,08,08,14,41,06.00,,-5.800,-36.200,  0.0,20, 1.7,5,"I",,,"RN","Lajes","(UnB)"
2020,08,08,21,07,08.00,,-20.260,-43.720,  0.0,5, 2.8,1,"I","4",,"MG","Itabirito","(RSBR-USP; UnB)"
2020,08,10,23,47,02.00,,-12.910,-49.770,  0.0,20, 2.3,5,"I",,,"TO","Araguaçu","(UnB)"
2020,08,12,07,56,26.00,,-6.380,-50.070,  0.0,0, 1.7,1,"I",,,"PA","Carajás","(RSVL-USP) suspected quake"
2020,08,12,12,59,26.00,,-5.870,-35.980,  0.0,2, 1.6,5,"I",,,"RN","Ruy Barbosa","(USP MLv-0.5)"
2020,08,12,19,32,57.00,,-5.900,-35.990,  0.0,2, 1.7,5,"I",,,"RN","Ruy Barbosa","(USP MLv-0.5)"
2020,08,17,02,24,48.00,,-5.500,-36.060,  0.0,6, 1.8,1,"I",,,"RN","Pedra Preta","(RSBR-USP)"
2020,08,17,09,06,11.00,,-3.760,-39.750,  0.0,9, 1.8,1,"I",,,"CE","Iraucuba","(RSBR-USP)"
2020,08,19,04,03,24.00,,-14.490,-53.840,  0.0,38, 2.0,1,"I",,,"MT","Alto Garcas","(RSBR-USP)"
2020,08,19,13,41,28.00,,-4.200,-40.200,  0.0,10, 2.0,5,"I",,,"CE","Santa_Quiteria","(RSBR-USP)"
2020,08,19,21,51,02.00,,-12.600,-38.980,  0.0,35, 1.6,1,"I",,,"BA","Sao Felix","(RSBR-USP)"
2020,08,22,01,23,43.00,,-29.375,-50.883,  0.0,1, 0.8,5,"I","3",,"RS","Gramado","(USP) induzido por poço"
2020,08,23,09,26,57.00,,-8.260,-36.020,  0.0,33, 1.6,1,"I",,,"PE","Caruaru","(RSBR-USP)"
2020,08,24,00,57,40.00,,-3.900,-40.420,  0.0,12, 2.0,1,"I",,,"CE","Groaíras","(RSBR-USP)"
2020,08,25,03,23,09.00,,-5.270,-38.870,  0.0,5, 4.0,1,"I",,,"CE","Margem_Continental","(UFRN)"
2020,08,26,07,06,44.00,,-3.650,-40.470,  0.0,9, 2.0,5,"I",,,"CE","Alcântaras","(USP MLv-0.5)"
2020,08,26,14,47,43.00,,-3.910,-39.460,  0.0,14, 1.9,1,"I",,,"CE","Apuiares","(RSBR-USP)"
2020,08,27,06,01,52.00,,-8.260,-36.020,  0.0,33, 1.9,1,"I","3-4",,"PE","Caruaru","(RSBR-USP)"
2020,08,27,06,18,51.00,,-8.260,-36.020,  0.0,33, 1.6,1,"I","3-4",,"PE","Caruaru","(RSBR-USP)"
2020,08,27,11,01,22.00,,-8.260,-36.030,  0.0,33, 1.6,1,"I",,,"PE","Caruaru","(RSBR-USP)"
2020,08,29,05,23,29.00,,-5.540,-36.100,  0.0,6, 2.2,1,"I",,,"RN","Pedra Preta","(RSBR-USP)"
2020,08,30,10,43,44.00,,-13.070,-39.470,  0.0,5, 2.5,1,"I",,,"BA","Amargosa","(RSBR-USP mR 2.5)"
2020,08,30,10,44,28.00,,-13.077,-39.482,  1.0,1, 4.3,2,"I","6",95.000000,"BA","Amargosa","(UFRN-USP-UnB mR 4.2 Mw 4.1; ISC mb 4.45; SAMES2023)"
2020,08,30,11,18,07.00,,-13.069,-39.481,  0.0,1, 3.7,1,"I",,,"BA","Amargosa","(RSBR-USP; UnB)"
2020,08,30,11,25,15.00,,-13.067,-39.470,  0.0,1, 2.7,1,"I",,,"BA","Amargosa","(RSBR-USP; UnB)"
2020,08,30,11,48,52.00,,-13.090,-39.590,  0.0,20, 1.6,1,"I",,,"BA","Amargosa","(UnB)"
2020,08,30,11,57,09.00,,-13.076,-39.461,  0.0,1, 2.8,1,"I",,,"BA","Amargosa","(RSBR-USP; UnB)"
2020,08,30,12,08,14.00,,-13.070,-39.470,  0.0,5, 2.3,1,"I",,,"BA","Amargosa","(RSBR-USP)"
2020,08,30,12,08,26.00,,-13.000,-39.580,  0.0,5, 2.0,1,"I",,,"BA","Amargosa","(UFRN) Sao_Miguel_das_Matas"
2020,08,30,12,11,42.00,,-13.070,-39.470,  0.0,5, 2.2,1,"I",,,"BA","Amargosa","(RSBR-USP; UnB)"
2020,08,30,12,21,48.00,,-13.070,-39.470,  0.0,5, 1.8,1,"I",,,"BA","Amargosa","(RSBR-USP)"
2020,08,30,13,41,43.00,,-13.070,-39.470,  0.0,5, 1.6,1,"I",,,"BA","Amargosa","(RSBR-USP)"
2020,08,30,20,12,00.00,,-13.000,-39.580,  0.0,5, 2.6,1,"I",,,"BA","Amargosa","(UFRN)"
2020,08,30,21,09,18.00,,-13.070,-39.470,  0.0,5, 1.6,1,"I",,,"BA","Amargosa","(RSBR-USP)"
2020,08,30,21,11,44.00,,-13.070,-39.470,  0.0,5, 2.3,1,"I",,,"BA","Amargosa","(RSBR-USP; UnB)"
2020,08,31,06,41,48.00,,-13.070,-39.481,  0.0,1, 3.5,1,"I",,,"BA","Amargosa","(RSBR-USP; UnB)"
2020,08,31,07,27,28.00,,-5.500,-36.070,  0.0,6, 1.8,1,"I",,,"RN","Pedra Preta","(RSBR-USP)"
2020,08,31,15,36,52.00,,-3.560,-40.710,  0.0,12, 2.7,1,"I",,,"CE","Coreau","(RSBR-USP)"
2020,08,31,17,26,20.00,,-3.450,-39.990,  0.0,4, 2.0,1,"I",,,"CE","Santana de Acaraú","(RSBR-USP)"
2020,09,01,06,31,36.00,,-13.070,-39.470,  0.0,5, 1.8,1,"I",,,"BA","Amargosa","(RSBR-USP)"
2020,09,01,09,36,28.00,,-13.070,-39.470,  0.0,5, 2.5,1,"I",,,"BA","Amargosa","(RSBR-USP; UnB)"
2020,09,01,09,37,11.00,,-13.040,-39.390,  0.0,5, 2.2,1,"I",,,"BA","Amargosa","(UFRN) Santo_Antônio_de_Jesus"
2020,09,01,11,32,45.00,,-10.150,-36.920,  0.0,20, 2.4,1,"I",,,"SE","Canhoba","(RSBR-USP; UnB)"
2020,09,01,13,25,57.00,,-13.000,-39.580,  0.0,5, 2.0,1,"I",,,"BA","Amargosa","(UFRN)"
2020,09,02,01,01,19.00,,-5.510,-36.080,  0.0,6, 2.0,5,"I",,,"RN","Pedra Preta","(RSBR-USP; SC3: MLv-0.5)"
2020,09,02,02,21,57.00,,-10.120,-36.530,  0.0,5, 2.1,1,"I",,,"SE","Canhoba","(UFRN)"
2020,09,02,16,36,33.00,,-13.070,-39.470,  0.0,5, 1.7,1,"I",,,"BA","Amargosa","(RSBR-USP)"
2020,09,03,02,21,57.00,,-10.120,-36.930,  0.0,25, 2.1,1,"I",,,"SE","Canhoba","(RSBR-USP)"
2020,09,03,03,12,50.00,,-5.510,-36.010,  0.0,6, 1.9,1,"I",,,"RN","Pedra Preta","(RSBR-USP)"
2020,09,03,11,39,12.00,,-29.378,-50.882,  0.0,1, 0.8,5,"I","3",,"RS","Gramado","(USP) induzido por poço"
2020,09,03,11,57,20.00,,-29.378,-50.882,  0.0,1, 1.3,5,"I","4",0.001000,"RS","Gramado","(USP) induzido por poço"
2020,09,04,02,30,48.00,,-9.840,-36.980,  0.0,20, 2.0,1,"I",,,"AL","Traipu","(RSBR-USP)"
2020,09,04,16,16,10.00,,-29.100,-53.220,  0.0,20, 2.2,1,"I",,,"RS","Salto do Jacui","(RSBR-USP)"
2020,09,04,17,02,54.00,,-22.020,-47.850,  0.0,20, 2.5,1,"I",,,"SP","São Carlos","(RSBR-USP; UnB)"
2020,09,04,17,07,20.00,,-29.377,-50.885,  0.0,1, 1.1,5,"I","3",,"RS","Gramado","(USP) induzido por poço"
2020,09,05,20,18,21.00,,-9.950,-36.950,  0.0,20, 2.2,1,"I",,,"AL","Traipu","(RSBR-USP; UnB)"
2020,09,06,00,33,24.00,,-9.840,-36.990,  0.0,20, 2.1,1,"I",,,"AL","Traipu","(RSBR-USP)"
2020,09,06,03,58,35.00,,-9.840,-36.990,  0.0,20, 1.8,5,"I",,,"AL","Traipu","(RSBR-USP; SC3: MLv-0.5)"
2020,09,06,04,45,23.00,,-5.740,-50.480,  0.0,5, 2.3,1,"I",,,"PA","Carajás","(RSVL-USP) suspected quake"
2020,09,06,05,23,42.00,,-18.760,-47.110,  0.0,10, 2.8,1,"I",,,"MG","Patrocinio","(RSBR-USP; UnB)"
2020,09,09,01,23,00.00,,-29.377,-50.885,  0.0,1, 0.5,5,"C","2",,"RS","Gramado","(USP) induzido por poço"
2020,09,09,02,18,11.00,,-8.290,-36.030,  0.0,33, 1.9,1,"I",,,"PE","Caruaru","(RSBR-USP)"
2020,09,09,03,09,13.00,,-8.290,-36.030,  0.0,33, 1.7,1,"I",,,"PE","Caruaru","(RSBR-USP)"
2020,09,09,05,37,29.00,,-8.290,-36.030,  0.0,33, 1.5,1,"I",,,"PE","Caruaru","(RSBR-USP)"
2020,09,09,05,40,12.00,,-8.290,-36.030,  0.0,33, 1.6,1,"I",,,"PE","Caruaru","(RSBR-USP)"
2020,09,09,13,35,13.00,,-8.280,-36.050,  0.0,33, 2.5,1,"I",,,"PE","Caruaru","(RSBR-USP)"
2020,09,10,06,29,43.00,,-8.280,-36.050,  0.0,33, 1.6,1,"I",,,"PE","Caruaru","(RSBR-USP)"
2020,09,10,18,20,42.00,,-11.540,-55.890,  0.0,11, 2.6,1,"I",,,"MT","Sinop","(RSBR-USP)"
2020,09,10,19,44,43.00,,-7.880,-38.790,  0.0,24, 2.3,1,"I",,,"PE","Sao Jose do Belmonte","(RSBR-USP)"
2020,09,11,05,25,08.00,,-8.270,-36.050,  0.0,33, 1.6,1,"I",,,"PE","Caruaru","(RSBR-USP)"
2020,09,11,05,29,10.00,,-8.280,-36.050,  0.0,33, 2.3,1,"I",,,"PE","Caruaru","(RSBR-USP)"
2020,09,11,09,57,06.00,,-8.280,-36.050,  0.0,33, 2.4,1,"I",,,"PE","Caruaru","(RSBR-USP)"
2020,09,11,09,57,59.00,,-8.280,-36.050,  0.0,5, 2.4,1,"I",,,"PE","Caruaru","(UFRN)"
2020,09,12,02,29,07.00,,-5.480,-36.090,  0.0,6, 2.2,1,"I",,,"RN","Pedra Preta","(RSBR-USP)"
2020,09,12,12,28,45.00,,-15.320,-46.580,  0.0,37, 2.3,1,"I",,,"MG","Buritis","(RSBR-USP)"
2020,09,13,08,21,51.00,,-9.660,-47.540,  0.0,2, 1.5,1,"I",,,"TO","NOVO ACORDO","(UnB)"
2020,09,13,09,17,17.00,,-9.680,-47.530,  0.0,20, 1.9,5,"I",,,"TO","Rio Sono","(UnB)"
2020,09,13,19,19,37.00,,-6.400,-50.090,  0.0,0, 3.3,1,"I",,,"PA","Carajás","(RSVL-USP) suspected quake"
2020,09,14,07,41,27.00,,-8.280,-36.050,  0.0,33, 1.6,1,"I",,,"PE","Caruaru","(RSBR-USP)"
